abbreviation,region name,6-F-DET1 count,6-F-DET2 count,6-F-DET3 count,6-F-DET4 count,6-F-DET5 count,6-F-DET6 count,6-F-DET7 count,6-F-DET8 count,A-SSRI1 count,A-SSRI2 count,A-SSRI3 count,A-SSRI4 count,A-SSRI5 count,A-SSRI6 count,A-SSRI7 count,A-SSRI8 count,C-SSRI1 count,C-SSRI2 count,C-SSRI3 count,C-SSRI4 count,C-SSRI5 count,C-SSRI6 count,C-SSRI7 count,C-SSRI8 count,DMT1 count,DMT2 count,DMT3 count,DMT4 count,DMT5 count,DMT6 count,DMT7 count,DMT8 count,KET1 count,KET2 count,KET3 count,KET4 count,KET5 count,KET6 count,KET7 count,KET8 count,MDMA1 count,MDMA2 count,MDMA3 count,MDMA4 count,MDMA5 count,MDMA6 count,MDMA7 count,MDMA8 count,PSI1 count,PSI2 count,PSI3 count,PSI4 count,PSI5 count,PSI6 count,PSI7 count,PSI8 count,SAL1 count,SAL2 count,SAL3 count,SAL4 count,SAL5 count,SAL6 count,SAL7 count,SAL8 count
VISC,Visceral area,16983.0,8578.0,23490.0,26891.0,49318.0,20723.0,23711.0,66753.0,10550.0,10155.0,7714.0,13932.0,20716.0,13182.0,8274.0,14303.0,1550.0,4346.0,3277.0,6247.0,4773.0,8393.0,4601.0,4665.0,25993.0,17184.0,57571.0,22456.0,17063.0,33116.0,25406.0,28446.0,14468.0,8797.0,19947.0,57715.0,12994.0,23048.0,17040.0,27139.0,34478.0,41608.0,22717.0,38245.0,36400.0,32495.0,30768.0,41404.0,11322.0,18743.0,19697.0,39400.0,26996.0,39713.0,34941.0,28216.0,19704.0,11489.0,9572.0,7075.0,19083.0,16245.0,7455.0,26603.0
AUDd,Dorsal auditory area,6841.0,4110.0,16813.0,13085.0,44764.0,13512.0,22167.0,28489.0,6751.0,14967.0,16190.0,21675.0,18689.0,5149.0,12212.0,6969.0,1452.0,12171.0,8680.0,11592.0,7931.0,11387.0,11027.0,5326.0,22772.0,16216.0,34079.0,22246.0,10440.0,34142.0,23800.0,21071.0,6878.0,18736.0,11116.0,40304.0,28134.0,28889.0,20782.0,35037.0,35019.0,27342.0,25159.0,33631.0,26893.0,31535.0,28809.0,37210.0,10003.0,12937.0,5173.0,30160.0,29749.0,27467.0,12789.0,26731.0,34061.0,17247.0,20279.0,5558.0,13414.0,2131.0,6774.0,26513.0
AUDp,Primary auditory area,21352.0,8643.0,46313.0,45516.0,104447.0,39526.0,57737.0,77386.0,23934.0,41748.0,49702.0,51409.0,66763.0,25741.0,23177.0,24248.0,3744.0,34013.0,20756.0,32133.0,21137.0,15546.0,17289.0,11272.0,42084.0,33729.0,65480.0,35969.0,25903.0,60412.0,44722.0,51503.0,26242.0,41956.0,27102.0,83867.0,43374.0,44253.0,39539.0,69528.0,61838.0,52273.0,42872.0,64491.0,51705.0,52262.0,50628.0,65788.0,19193.0,37098.0,14083.0,58893.0,73183.0,49816.0,70530.0,65359.0,70060.0,45949.0,37396.0,13819.0,28900.0,6575.0,12683.0,69978.0
AUDpo,Posterior auditory area,2489.0,1624.0,15868.0,10371.0,28511.0,12099.0,17043.0,17927.0,6297.0,12241.0,14483.0,15821.0,14608.0,8014.0,5960.0,6432.0,1540.0,8818.0,4686.0,9825.0,6832.0,3251.0,4701.0,4538.0,10473.0,6842.0,19812.0,9591.0,6034.0,17702.0,10188.0,12693.0,8480.0,15052.0,9929.0,19987.0,15077.0,14359.0,13009.0,18867.0,17401.0,15530.0,11782.0,17643.0,13498.0,16149.0,15422.0,18520.0,4647.0,10164.0,4304.0,17651.0,18772.0,15989.0,16592.0,14578.0,25363.0,10323.0,12086.0,2936.0,9462.0,1817.0,5797.0,16615.0
AUDv,Ventral auditory area,15038.0,6722.0,35363.0,44192.0,72659.0,33137.0,42715.0,62012.0,16432.0,29938.0,33377.0,37660.0,59498.0,30463.0,17095.0,17741.0,4658.0,25299.0,17886.0,18397.0,21320.0,15183.0,14022.0,10853.0,34092.0,36992.0,55101.0,37897.0,25708.0,46928.0,54070.0,43402.0,38129.0,37634.0,45224.0,68554.0,38795.0,34579.0,31954.0,49896.0,47767.0,44483.0,32523.0,50015.0,44825.0,39854.0,37616.0,53702.0,15416.0,31911.0,16672.0,42490.0,51774.0,44222.0,56142.0,53893.0,42678.0,33289.0,26437.0,13115.0,26557.0,12642.0,11998.0,65488.0
VISal,Anterolateral visual area,1594.0,1761.0,15612.0,9944.0,33937.0,10998.0,17929.0,13287.0,7365.0,11089.0,9494.0,15097.0,8363.0,5463.0,7560.0,4387.0,3718.0,9259.0,2980.0,12030.0,9402.0,5043.0,9886.0,4726.0,10215.0,5510.0,25300.0,8788.0,4319.0,18696.0,11877.0,10901.0,4762.0,17148.0,4445.0,19729.0,15833.0,18272.0,16309.0,29136.0,25489.0,21104.0,20561.0,23904.0,19485.0,25002.0,22039.0,28903.0,6277.0,9504.0,5065.0,16605.0,12601.0,13569.0,7715.0,11455.0,36413.0,11604.0,12342.0,2163.0,5570.0,1935.0,3395.0,14285.0
VISam,Anteromedial visual area,7796.0,1057.0,3867.0,11231.0,20210.0,5662.0,8267.0,8131.0,3861.0,11531.0,10258.0,12154.0,6068.0,16901.0,5972.0,2226.0,3914.0,7302.0,6033.0,3769.0,3607.0,8808.0,10442.0,4720.0,9532.0,4986.0,18799.0,8558.0,3427.0,6991.0,2265.0,9101.0,8460.0,15873.0,7813.0,27512.0,17466.0,24483.0,14874.0,21861.0,27116.0,20178.0,18227.0,23383.0,16821.0,23148.0,18977.0,27209.0,6751.0,14282.0,3402.0,12010.0,10058.0,10329.0,6954.0,7937.0,12842.0,12363.0,16149.0,1433.0,11846.0,3367.0,2495.0,7919.0
VISl,Lateral visual area,9250.0,2717.0,30143.0,32157.0,56276.0,37379.0,35731.0,50424.0,18498.0,21501.0,23997.0,25612.0,18626.0,16177.0,12179.0,11785.0,9252.0,17759.0,7463.0,23308.0,13264.0,9862.0,25025.0,10936.0,13000.0,8893.0,30721.0,27353.0,9011.0,21322.0,14762.0,24499.0,13816.0,38213.0,19818.0,37244.0,27524.0,31051.0,29658.0,51548.0,42530.0,36959.0,33669.0,42142.0,38569.0,44864.0,40045.0,42255.0,9539.0,28724.0,13188.0,26334.0,22639.0,23281.0,15007.0,19823.0,67034.0,30480.0,30304.0,9411.0,17876.0,6313.0,8277.0,27851.0
VISp,Primary visual area,61364.0,12726.0,111361.0,137109.0,251583.0,178026.0,161573.0,194834.0,109963.0,76965.0,99049.0,144551.0,59377.0,97775.0,54509.0,50188.0,41476.0,84310.0,45156.0,73130.0,40976.0,61341.0,93332.0,58239.0,68516.0,30504.0,205459.0,106574.0,24118.0,81074.0,39079.0,114173.0,81425.0,159101.0,74873.0,285864.0,141300.0,198392.0,132887.0,327059.0,242774.0,202890.0,157031.0,229128.0,186549.0,225809.0,223199.0,229016.0,32273.0,194270.0,70699.0,115307.0,97202.0,98638.0,52239.0,69578.0,203464.0,190149.0,158173.0,40531.0,80062.0,25710.0,26663.0,94851.0
VISpl,Posterolateral visual area,6264.0,1216.0,10480.0,14208.0,19212.0,15034.0,19612.0,18362.0,10058.0,10353.0,11518.0,10076.0,13630.0,11577.0,8280.0,4777.0,5147.0,11347.0,5175.0,6223.0,5844.0,7826.0,9723.0,5568.0,10733.0,6372.0,9322.0,7594.0,4340.0,5247.0,2914.0,15066.0,11126.0,15996.0,12387.0,29278.0,17587.0,15119.0,16431.0,31062.0,15768.0,16319.0,13102.0,18321.0,11296.0,16362.0,13677.0,17741.0,5519.0,11349.0,12231.0,7766.0,8717.0,4542.0,3776.0,6180.0,16655.0,17160.0,13655.0,5412.0,7726.0,4384.0,5174.0,7956.0
VISpm,posteromedial visual area,12659.0,1420.0,10060.0,12794.0,34133.0,11964.0,13403.0,14079.0,11294.0,16298.0,13287.0,18771.0,6121.0,19932.0,8147.0,11458.0,9054.0,10272.0,10135.0,7866.0,7144.0,12062.0,15223.0,7606.0,14177.0,9394.0,30388.0,9813.0,5691.0,11042.0,3250.0,13155.0,16159.0,34682.0,12797.0,52602.0,25758.0,32768.0,22669.0,37412.0,34466.0,30004.0,23396.0,33922.0,25038.0,28892.0,32092.0,33859.0,8225.0,26421.0,10745.0,18821.0,16241.0,21154.0,12047.0,14080.0,19178.0,21867.0,20081.0,6143.0,16342.0,7642.0,3771.0,11998.0
VISli,Laterointermediate area,2432.0,1136.0,14018.0,14638.0,21180.0,15224.0,15629.0,20563.0,7673.0,9151.0,10400.0,11258.0,8946.0,7015.0,5299.0,5281.0,2939.0,8231.0,3768.0,9004.0,5649.0,3057.0,7845.0,4168.0,7321.0,4272.0,12086.0,9220.0,5475.0,10298.0,9536.0,12056.0,7407.0,12213.0,9113.0,26153.0,12658.0,14567.0,11119.0,19204.0,15748.0,13563.0,12081.0,15225.0,14286.0,15187.0,12838.0,16108.0,3819.0,9754.0,6219.0,10993.0,13447.0,12446.0,11555.0,10650.0,23906.0,12097.0,12541.0,4595.0,8460.0,2869.0,4269.0,13081.0
TR,Postpiriform transition area,8257.0,2575.0,4681.0,9983.0,11176.0,7994.0,7576.0,13844.0,5616.0,3297.0,6002.0,2953.0,10041.0,8987.0,2632.0,8707.0,2536.0,1857.0,1492.0,3706.0,2432.0,3062.0,2236.0,986.0,2031.0,6002.0,14445.0,3874.0,6459.0,8736.0,12465.0,6196.0,17203.0,21252.0,11259.0,20798.0,7543.0,8745.0,7237.0,11768.0,8523.0,12951.0,7749.0,8660.0,6753.0,10828.0,8421.0,8450.0,1551.0,3864.0,6233.0,4565.0,9112.0,6091.0,12100.0,7961.0,11417.0,6373.0,5904.0,4653.0,10962.0,12023.0,11289.0,14851.0
PAA,Piriform-amygdalar area,5471.0,939.0,2773.0,2911.0,12282.0,6844.0,2430.0,5815.0,3038.0,5432.0,5209.0,2673.0,10416.0,3506.0,2945.0,4280.0,2618.0,1949.0,1309.0,2206.0,1564.0,776.0,1644.0,413.0,1852.0,7433.0,14991.0,4711.0,5548.0,5377.0,11807.0,2721.0,19685.0,14058.0,16520.0,32803.0,7342.0,7213.0,7087.0,13604.0,7628.0,8892.0,6166.0,8789.0,8236.0,8886.0,8546.0,9839.0,1259.0,3439.0,1141.0,7043.0,11065.0,9245.0,11123.0,11408.0,11823.0,3856.0,4625.0,2685.0,15859.0,17577.0,10915.0,23455.0
MOB,Main olfactory bulb,87904.0,55656.0,124344.0,118167.0,260956.0,156582.0,168268.0,247692.0,111901.0,119995.0,75204.0,162267.0,151965.0,170729.0,54468.0,107077.0,91344.0,127044.0,26459.0,102004.0,79869.0,45288.0,73856.0,32430.0,90487.0,110411.0,307336.0,60030.0,132458.0,122349.0,220162.0,101010.0,229999.0,96096.0,267505.0,233347.0,54317.0,87564.0,103210.0,80833.0,87678.0,86364.0,51615.0,65180.0,103376.0,94015.0,88995.0,71867.0,56628.0,80673.0,99779.0,132054.0,56161.0,241963.0,24330.0,94704.0,53841.0,122826.0,95576.0,66900.0,7303.0,113088.0,107493.0,474328.0
COAa,Cortical amygdalar area anterior part,5446.0,897.0,3851.0,3606.0,15755.0,5748.0,2696.0,8650.0,3018.0,7172.0,5469.0,4850.0,8503.0,3551.0,5552.0,3749.0,2854.0,3267.0,1727.0,2843.0,2416.0,814.0,2593.0,376.0,1602.0,8256.0,13308.0,4378.0,6152.0,4810.0,10182.0,2622.0,24224.0,27720.0,22434.0,30914.0,7137.0,10494.0,8639.0,12655.0,7455.0,9501.0,5527.0,7536.0,8758.0,8649.0,8987.0,9124.0,1082.0,2773.0,1837.0,6313.0,13264.0,8376.0,10636.0,9779.0,12155.0,5424.0,6606.0,1912.0,18949.0,18308.0,9129.0,29155.0
AOB,Accessory olfactory bulb,2670.0,3707.0,4150.0,4880.0,11337.0,4820.0,10699.0,23149.0,5443.0,6116.0,2725.0,8025.0,8153.0,6362.0,2311.0,10803.0,4817.0,3324.0,1307.0,5923.0,1509.0,1524.0,3674.0,1364.0,6070.0,2978.0,13733.0,1630.0,6800.0,9246.0,20950.0,5445.0,16065.0,7565.0,10819.0,10295.0,2667.0,6434.0,5397.0,3205.0,5556.0,4479.0,3050.0,3539.0,4242.0,4374.0,3507.0,4866.0,2407.0,5295.0,11418.0,7179.0,2346.0,6249.0,1505.0,4208.0,3910.0,9724.0,5147.0,3519.0,2757.0,7934.0,4126.0,21401.0
AON,Anterior olfactory nucleus,38467.0,37364.0,34544.0,76848.0,91402.0,43432.0,87583.0,147005.0,34457.0,41706.0,70682.0,67084.0,71136.0,59632.0,35492.0,32047.0,25503.0,28400.0,29486.0,35675.0,33789.0,29568.0,30817.0,10178.0,42831.0,31836.0,94290.0,23708.0,61669.0,59286.0,54089.0,26246.0,71328.0,74858.0,92595.0,112245.0,67788.0,82731.0,73571.0,110256.0,71098.0,101158.0,71795.0,82612.0,73030.0,69059.0,81167.0,77963.0,19259.0,47732.0,48840.0,67820.0,21093.0,60754.0,25251.0,34255.0,88052.0,39347.0,66255.0,23746.0,36212.0,95489.0,65379.0,171220.0
TT,Taenia tecta,4008.0,15560.0,2455.0,12637.0,15251.0,6634.0,12201.0,14122.0,4039.0,7706.0,9601.0,9622.0,14809.0,10820.0,5409.0,6109.0,3298.0,5211.0,5727.0,5484.0,5141.0,5387.0,5238.0,2785.0,9132.0,6805.0,21462.0,3009.0,15701.0,13860.0,6382.0,5140.0,13568.0,11729.0,13385.0,15116.0,7663.0,12199.0,14241.0,18457.0,13243.0,16205.0,12082.0,11340.0,13326.0,13457.0,14453.0,10635.0,4607.0,5767.0,6914.0,9690.0,6548.0,9948.0,4321.0,6658.0,10996.0,3242.0,10808.0,2181.0,9170.0,20446.0,12399.0,23461.0
DP,Dorsal peduncular area,1630.0,6374.0,1406.0,3319.0,9068.0,2832.0,3528.0,7210.0,1757.0,4466.0,4929.0,5206.0,7643.0,6275.0,3141.0,3464.0,1156.0,2481.0,2909.0,2864.0,2435.0,3189.0,3149.0,1690.0,4812.0,2777.0,10858.0,703.0,6903.0,5073.0,3198.0,2369.0,4519.0,3288.0,4272.0,5123.0,3966.0,6863.0,6041.0,9477.0,8608.0,8648.0,6762.0,6410.0,7023.0,7103.0,7886.0,7706.0,2896.0,1734.0,3034.0,4395.0,2567.0,2750.0,1405.0,1488.0,4682.0,2162.0,3766.0,947.0,1568.0,3258.0,1518.0,6298.0
PIR,Piriform area,78066.0,44663.0,80692.0,124573.0,211324.0,107822.0,114737.0,197658.0,75837.0,80559.0,69863.0,99527.0,160561.0,95342.0,57716.0,112153.0,49185.0,53101.0,36801.0,48969.0,55209.0,37080.0,35972.0,18140.0,52015.0,100356.0,226239.0,88609.0,88224.0,133879.0,141471.0,85456.0,196622.0,141404.0,159289.0,395232.0,143914.0,166211.0,146396.0,271057.0,147607.0,163614.0,137694.0,157090.0,152235.0,145978.0,127742.0,166590.0,27306.0,87762.0,68762.0,122127.0,80367.0,132016.0,104411.0,102187.0,198245.0,73480.0,123232.0,56072.0,187325.0,142078.0,106613.0,279429.0
COAp,Cortical amygdalar area posterior part,12027.0,4907.0,7213.0,14370.0,26169.0,17127.0,11007.0,16515.0,8257.0,7506.0,12969.0,5701.0,17894.0,13622.0,6568.0,15831.0,4353.0,2379.0,3104.0,3754.0,2488.0,1323.0,3587.0,990.0,3560.0,14522.0,27351.0,8888.0,12851.0,14908.0,30274.0,11157.0,41506.0,32779.0,27404.0,53952.0,13054.0,15165.0,13645.0,30105.0,19258.0,21392.0,19687.0,18598.0,17511.0,25282.0,21067.0,25503.0,1802.0,9014.0,4579.0,9879.0,18291.0,12249.0,18612.0,12269.0,22673.0,7498.0,20603.0,6146.0,25502.0,19606.0,18277.0,38076.0
NLOT,Nucleus of the lateral olfactory tract,1290.0,692.0,1461.0,1500.0,5181.0,1234.0,1528.0,3415.0,1255.0,2383.0,2140.0,1730.0,2147.0,684.0,1680.0,1195.0,660.0,1066.0,986.0,869.0,883.0,430.0,1094.0,150.0,579.0,1710.0,2876.0,1224.0,1983.0,2180.0,2269.0,809.0,3906.0,5558.0,4292.0,5894.0,1805.0,3860.0,1828.0,3329.0,2676.0,4210.0,1823.0,2641.0,3251.0,3333.0,3324.0,3631.0,158.0,908.0,496.0,1510.0,2199.0,1826.0,2185.0,1035.0,3838.0,838.0,1941.0,551.0,4148.0,4739.0,1276.0,7032.0
ENTm,Entorhinal area medial part dorsal zone,8865.0,13569.0,33838.0,42072.0,37071.0,26856.0,39253.0,41190.0,21968.0,26236.0,39059.0,23693.0,34411.0,37990.0,25395.0,19465.0,19200.0,23224.0,15965.0,21084.0,14249.0,22852.0,21692.0,12371.0,20883.0,15212.0,28146.0,8755.0,11592.0,25027.0,10880.0,33264.0,52948.0,74018.0,59475.0,120533.0,63410.0,50438.0,45548.0,72398.0,54057.0,74243.0,40181.0,54498.0,37371.0,46437.0,46003.0,54804.0,15241.0,13788.0,27846.0,14591.0,31337.0,25497.0,15771.0,37553.0,53153.0,14944.0,32277.0,14289.0,38835.0,26012.0,29332.0,75765.0
CA1,Field CA1,17786.0,40937.0,32437.0,40010.0,125353.0,45245.0,45716.0,56633.0,26540.0,31790.0,65738.0,48150.0,83201.0,60398.0,54285.0,31423.0,15689.0,23590.0,34159.0,26453.0,27927.0,49972.0,31403.0,33457.0,55579.0,20339.0,78476.0,21151.0,18854.0,45070.0,82610.0,37349.0,44705.0,54184.0,60261.0,89935.0,47279.0,67734.0,60892.0,95328.0,108012.0,116678.0,60109.0,91106.0,100917.0,119024.0,88361.0,119082.0,33236.0,41442.0,18785.0,45587.0,29785.0,21898.0,35193.0,29824.0,78344.0,55024.0,34756.0,21730.0,37543.0,26158.0,15819.0,52270.0
ENTl,Entorhinal area lateral part,59721.0,17536.0,57961.0,73099.0,106471.0,42207.0,65337.0,99883.0,52529.0,31185.0,31670.0,38905.0,59070.0,81909.0,30190.0,39324.0,22870.0,24533.0,12881.0,29412.0,22605.0,32016.0,24470.0,13187.0,26830.0,36594.0,72309.0,30019.0,28622.0,56688.0,47171.0,54810.0,84298.0,77845.0,97198.0,165307.0,85864.0,87505.0,70968.0,96984.0,77925.0,100887.0,71714.0,82819.0,74009.0,83636.0,67332.0,99745.0,13161.0,37804.0,44165.0,35327.0,43666.0,38966.0,35411.0,46391.0,116567.0,45367.0,52326.0,31289.0,66505.0,43094.0,38359.0,109329.0
CA3,Field CA3,9013.0,37797.0,10153.0,15717.0,55199.0,13997.0,13294.0,21260.0,12860.0,15432.0,27492.0,18632.0,25982.0,23232.0,22767.0,11063.0,7373.0,11171.0,14108.0,11325.0,12201.0,22223.0,14575.0,12403.0,27295.0,15666.0,32112.0,9077.0,11042.0,17475.0,31921.0,14485.0,17554.0,18726.0,15190.0,26627.0,21068.0,32445.0,23941.0,42128.0,53305.0,55669.0,32345.0,45652.0,50012.0,52682.0,37544.0,54259.0,13762.0,17381.0,6054.0,19341.0,15032.0,7674.0,10415.0,7820.0,19499.0,17896.0,12505.0,7275.0,14668.0,5125.0,4154.0,16783.0
DG,Dentate gyrus,8487.0,44884.0,8455.0,10210.0,37551.0,9290.0,8843.0,12672.0,9185.0,8484.0,16950.0,10668.0,14584.0,19193.0,12568.0,8427.0,5415.0,5236.0,8096.0,3668.0,7968.0,12180.0,9086.0,8287.0,17434.0,7123.0,17640.0,8404.0,6174.0,10114.0,19420.0,12126.0,24081.0,29129.0,19774.0,35538.0,18689.0,16907.0,15586.0,21441.0,28585.0,29010.0,18383.0,27271.0,25244.0,27297.0,28015.0,27760.0,11246.0,15432.0,5328.0,10560.0,20100.0,10282.0,11007.0,13076.0,16803.0,21193.0,10551.0,7208.0,17235.0,8302.0,8227.0,18874.0
FC,Fasciola cinerea,44.0,367.0,18.0,6.0,94.0,10.0,74.0,64.0,15.0,104.0,78.0,48.0,25.0,3.0,20.0,3.0,25.0,20.0,33.0,18.0,22.0,2.0,31.0,27.0,408.0,198.0,713.0,76.0,106.0,140.0,160.0,324.0,129.0,84.0,10.0,89.0,78.0,103.0,62.0,131.0,638.0,733.0,317.0,557.0,657.0,835.0,427.0,447.0,14.0,32.0,13.0,69.0,183.0,25.0,47.0,141.0,25.0,10.0,43.0,37.0,115.0,6.0,34.0,25.0
IG,Induseum griseum,63.0,1080.0,886.0,186.0,202.0,52.0,91.0,256.0,39.0,383.0,202.0,294.0,2157.0,220.0,181.0,76.0,38.0,39.0,142.0,59.0,124.0,70.0,79.0,89.0,448.0,403.0,432.0,166.0,185.0,98.0,1039.0,231.0,25.0,30.0,54.0,20.0,41.0,126.0,207.0,324.0,578.0,334.0,235.0,504.0,482.0,674.0,1073.0,442.0,42.0,59.0,98.0,152.0,17.0,6.0,25.0,14.0,76.0,28.0,18.0,264.0,16.0,22.0,3.0,12.0
CA2,Field CA2,765.0,2370.0,797.0,1082.0,5549.0,980.0,1406.0,1360.0,1101.0,917.0,1751.0,1147.0,2072.0,1449.0,1443.0,751.0,341.0,784.0,1029.0,690.0,679.0,1611.0,874.0,1188.0,2184.0,812.0,2539.0,586.0,615.0,1440.0,2888.0,1090.0,702.0,806.0,638.0,1375.0,1042.0,1726.0,1611.0,2212.0,3477.0,3657.0,1818.0,2833.0,3296.0,3908.0,2627.0,3794.0,877.0,1400.0,517.0,1177.0,783.0,437.0,667.0,398.0,1471.0,1320.0,822.0,560.0,666.0,271.0,218.0,1080.0
HATA,Hippocampo-amygdalar transition area,1560.0,1298.0,3356.0,3682.0,4631.0,5070.0,2303.0,5960.0,1707.0,1337.0,4829.0,2558.0,3739.0,3519.0,1778.0,2197.0,2080.0,1375.0,2468.0,1465.0,689.0,786.0,2693.0,522.0,2046.0,3642.0,6966.0,686.0,3604.0,2802.0,3020.0,2828.0,6389.0,6735.0,5296.0,12723.0,4156.0,4569.0,4747.0,11155.0,5150.0,5829.0,5121.0,5919.0,4116.0,5150.0,5372.0,5123.0,1517.0,2298.0,745.0,2589.0,3654.0,2910.0,2498.0,4288.0,6159.0,1167.0,3357.0,2075.0,4701.0,2772.0,2284.0,8473.0
ProS,Prosubiculum,7447.0,4972.0,8494.0,9957.0,22350.0,9883.0,6959.0,16894.0,4584.0,6524.0,10758.0,9483.0,12505.0,7997.0,10892.0,6571.0,3051.0,3606.0,5284.0,3854.0,4327.0,7888.0,7317.0,4930.0,8348.0,5088.0,20767.0,7225.0,3332.0,8855.0,11408.0,6832.0,9439.0,21707.0,17366.0,24511.0,8621.0,13318.0,12046.0,22951.0,17444.0,19218.0,13153.0,15155.0,17943.0,17822.0,16667.0,18292.0,5974.0,7845.0,3870.0,8911.0,7914.0,7701.0,7801.0,9975.0,17718.0,12825.0,7510.0,6444.0,10971.0,8298.0,4303.0,11584.0
SUB,Subiculum,8872.0,9006.0,10521.0,18190.0,34090.0,9049.0,10545.0,26997.0,5877.0,12032.0,17211.0,14519.0,16513.0,11236.0,14358.0,7817.0,5626.0,6317.0,7808.0,6026.0,6783.0,12023.0,12642.0,7580.0,12040.0,6528.0,17391.0,9085.0,3252.0,9495.0,11642.0,8378.0,10587.0,26622.0,18488.0,34188.0,12988.0,24952.0,18298.0,33648.0,30139.0,31513.0,21683.0,25178.0,25504.0,27744.0,28293.0,28700.0,7700.0,9715.0,4904.0,11252.0,8324.0,9372.0,4448.0,13389.0,27403.0,15950.0,13824.0,6276.0,12455.0,9997.0,5993.0,12711.0
PRE,Presubiculum,1359.0,5174.0,2538.0,3630.0,2438.0,8139.0,3805.0,7907.0,1913.0,6893.0,9161.0,9289.0,5137.0,5990.0,6353.0,2487.0,2299.0,4285.0,5418.0,2339.0,3669.0,4482.0,10417.0,5107.0,3427.0,1864.0,6526.0,1943.0,1030.0,2636.0,3046.0,2795.0,7234.0,4450.0,3071.0,12965.0,4647.0,10312.0,7561.0,14692.0,9044.0,12290.0,6452.0,7131.0,6294.0,8745.0,7653.0,10912.0,5603.0,7166.0,810.0,5928.0,3607.0,2368.0,952.0,4125.0,8665.0,6542.0,10823.0,987.0,4294.0,1525.0,1223.0,4947.0
POST,Postsubiculum,4197.0,4654.0,2284.0,4981.0,26096.0,10945.0,6536.0,8564.0,3778.0,10150.0,10152.0,13679.0,6365.0,8697.0,6142.0,2142.0,2326.0,4851.0,9045.0,2533.0,5295.0,8477.0,15182.0,9288.0,4632.0,1345.0,7764.0,1754.0,1845.0,3578.0,7789.0,4460.0,5459.0,3610.0,1711.0,19888.0,9521.0,19334.0,14771.0,26633.0,18744.0,20081.0,15343.0,17784.0,15351.0,21778.0,17170.0,23436.0,5619.0,7556.0,2517.0,8279.0,2689.0,2053.0,506.0,3281.0,12975.0,10933.0,12162.0,1261.0,6883.0,501.0,121.0,5669.0
PAR,Parasubiculum,923.0,4074.0,2454.0,2815.0,1644.0,3835.0,5423.0,4626.0,1623.0,2768.0,5911.0,3937.0,6517.0,5070.0,4170.0,1758.0,1378.0,3290.0,4282.0,1866.0,1427.0,3734.0,5983.0,3989.0,4199.0,1476.0,5586.0,1492.0,707.0,2105.0,2055.0,4915.0,5499.0,3442.0,4030.0,14137.0,6647.0,8085.0,6152.0,9000.0,10988.0,11212.0,7498.0,8381.0,6397.0,7703.0,7634.0,10287.0,3547.0,4110.0,3188.0,1943.0,3878.0,2443.0,705.0,2681.0,5062.0,2824.0,6876.0,769.0,3364.0,983.0,1378.0,6027.0
APr,Area prostriata,2324.0,1002.0,1441.0,1035.0,5260.0,2867.0,3769.0,2042.0,1286.0,1507.0,2618.0,2661.0,1959.0,2365.0,1720.0,1033.0,599.0,1758.0,2581.0,796.0,890.0,1880.0,4974.0,2161.0,2405.0,831.0,2407.0,458.0,1005.0,1771.0,1579.0,2226.0,1572.0,1637.0,1147.0,5800.0,2020.0,4418.0,4599.0,9628.0,4531.0,5253.0,3877.0,5940.0,2848.0,5485.0,4511.0,7036.0,1351.0,2965.0,921.0,1746.0,1723.0,678.0,567.0,941.0,1720.0,3928.0,5412.0,436.0,1954.0,345.0,252.0,2632.0
GPe,Globus pallidus external segment,2828.0,16850.0,2069.0,524.0,8695.0,2422.0,708.0,2704.0,438.0,1329.0,1439.0,1859.0,1653.0,650.0,743.0,271.0,127.0,441.0,942.0,677.0,458.0,366.0,827.0,916.0,3249.0,4199.0,10089.0,2146.0,2375.0,2389.0,16633.0,1771.0,475.0,252.0,371.0,1261.0,1114.0,2965.0,1643.0,3595.0,4901.0,4189.0,2144.0,2894.0,4646.0,3538.0,5093.0,4262.0,1292.0,3005.0,569.0,1661.0,957.0,1145.0,860.0,476.0,499.0,1863.0,338.0,248.0,597.0,685.0,87.0,1201.0
GPi,Globus pallidus internal segment,113.0,3388.0,398.0,472.0,785.0,774.0,235.0,957.0,70.0,314.0,442.0,296.0,439.0,228.0,300.0,115.0,57.0,146.0,210.0,311.0,101.0,228.0,167.0,166.0,505.0,753.0,790.0,262.0,473.0,509.0,715.0,312.0,129.0,99.0,114.0,272.0,410.0,799.0,269.0,608.0,631.0,636.0,226.0,321.0,605.0,409.0,649.0,434.0,336.0,166.0,207.0,799.0,307.0,598.0,249.0,207.0,356.0,89.0,162.0,14.0,193.0,320.0,19.0,476.0
SI,Substantia innominata,4383.0,14684.0,8896.0,12504.0,24710.0,13011.0,18407.0,26169.0,6887.0,7022.0,7665.0,8182.0,9226.0,11343.0,6066.0,7460.0,1465.0,3228.0,4367.0,4180.0,3783.0,3526.0,4607.0,3182.0,11768.0,17182.0,24312.0,9775.0,16529.0,21059.0,20583.0,8824.0,6314.0,8451.0,5479.0,12154.0,7212.0,17684.0,9632.0,14390.0,16074.0,21168.0,13299.0,16546.0,18409.0,14172.0,22286.0,17798.0,3677.0,4950.0,8104.0,11361.0,4105.0,11997.0,7118.0,4385.0,8496.0,3822.0,8531.0,1841.0,8504.0,14319.0,3339.0,16535.0
